NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Enes Kanter,Utah Jazz,4.5,80,26.7,12.3,0.49,0,0.73,7.5,0.9,0.4,0.5,C
Jarrett Jack,Cleveland Cavaliers,6.3,80,28.2,9.5,0.41,0.34,0.84,2.8,4.1,0.7,0.3,PG
Joakim Noah,Chicago Bulls,11.1,80,35.3,12.6,0.48,0,0.74,11.3,5.4,1.2,1.5,C
Kenneth Faried,Denver Nuggets,1.4,80,27.2,13.7,0.55,0,0.65,8.6,1.2,0.9,0.9,PF
Kentavious Caldwell-Pope,Detroit Pistons,2.7,80,19.8,5.9,0.4,0.32,0.77,2,0.7,0.9,0.2,SG
Kosta Koufos,Memphis Grizzlies,3,80,16.9,6.4,0.5,0,0.65,5.2,0.5,0.4,0.9,C
Marco Belinelli,San Antonio Spurs,2.8,80,25.2,11.4,0.49,0.43,0.85,2.8,2.2,0.6,0.1,SF
Maurice Harkless,Orlando Magic,1.8,80,24.4,7.4,0.46,0.38,0.59,3.3,1,1.2,0.6,SF
Mike Scott,Atlanta Hawks,0.8,80,18.5,9.6,0.48,0.31,0.78,3.6,0.9,0.4,0.1,PF
Miles Plumlee,Phoenix Suns,1.1,80,24.6,8.1,0.52,0,0.56,7.8,0.5,0.6,1.1,C
Paul George,Indiana Pacers,3.3,80,36.2,21.7,0.42,0.36,0.86,6.8,3.5,1.9,0.3,SF
Reggie Jackson,Oklahoma City Thunder,1.3,80,28.5,13.1,0.44,0.34,0.89,3.9,4.1,1.1,0.1,PG
Samuel Dalembert,Dallas Mavericks,3.7,80,20.2,6.6,0.57,0,0.74,6.8,0.5,0.5,1.2,C
Victor Oladipo,Orlando Magic,4.8,80,31.1,13.8,0.42,0.33,0.78,4.1,4.1,1.6,0.5,SG
Boris Diaw,San Antonio Spurs,4.7,79,25,9.1,0.52,0.4,0.74,4.1,2.8,0.6,0.4,C
Chris Bosh,Miami Heat,19.1,79,32,16.2,0.52,0.34,0.82,6.6,1.1,1,1,C
Courtney Lee,Memphis Grizzlies,5.2,79,25,9.6,0.48,0.37,0.88,2.4,1.5,0.8,0.4,SG
DeMar DeRozan,Toronto Raptors,9.5,79,38.2,22.7,0.43,0.31,0.82,4.3,4,1.1,0.4,SG
E'Twaun Moore,Orlando Magic,0.9,79,19.1,6.3,0.43,0.35,0.77,1.7,1.4,0.8,0.2,SG
Greivis Vasquez,Toronto Raptors,2.2,79,22.5,9.6,0.42,0.38,0.88,2.2,4.1,0.4,0.1,PG
J.J. Barea,Minnesota Timberwolves,4.7,79,18.6,8.4,0.39,0.32,0.79,1.9,3.8,0.3,0,PG
Jeff Teague,Atlanta Hawks,8,79,32.2,16.5,0.44,0.33,0.85,2.6,6.7,1.1,0.2,PG
Joe Johnson,Brooklyn Nets,21.5,79,32.6,15.8,0.45,0.4,0.82,3.4,2.7,0.6,0.1,SF
Kyle Lowry,Toronto Raptors,6.2,79,36.2,17.9,0.42,0.38,0.81,4.7,7.4,1.5,0.2,PG
Marreese Speights,Golden State Warriors,3.5,79,12.4,6.4,0.44,0.26,0.82,3.7,0.4,0.1,0.4,C
Thaddeus Young,Philadelphia 76ers,8.9,79,34.4,17.9,0.45,0.31,0.71,6,2.3,2.1,0.5,SF
Zach Randolph,Memphis Grizzlies,18.2,79,34.2,17.4,0.47,0.1,0.74,10.1,2.5,0.7,0.3,PF
Alec Burks,Utah Jazz,2.2,78,28.1,14,0.46,0.35,0.75,3.3,2.7,0.9,0.2,PG
DeJuan Blair,Dallas Mavericks,0.9,78,15.6,6.4,0.53,0,0.64,4.7,0.9,0.8,0.3,C
Derrick Williams,Sacramento Kings,5,78,23.3,8,0.43,0.26,0.72,4.1,0.7,0.6,0.3,PF
Harrison Barnes,Golden State Warriors,2.9,78,28.3,9.5,0.4,0.35,0.72,4,1.5,0.8,0.3,SF
Jae Crowder,Dallas Mavericks,0.8,78,16.1,4.6,0.44,0.33,0.75,2.5,0.8,0.8,0.3,SF
Jeremy Lamb,Oklahoma City Thunder,2.1,78,19.7,8.5,0.43,0.36,0.8,2.4,1.5,0.7,0.3,SG
John Salmons,Toronto Raptors,7.6,78,22.1,5.2,0.36,0.39,0.77,2.1,1.9,0.6,0.2,SF
Lance Stephenson,Indiana Pacers,1,78,35.3,13.8,0.49,0.35,0.71,7.2,4.6,0.7,0.1,SG
Martell Webster,Washington Wizards,5.2,78,27.7,9.7,0.43,0.39,0.84,2.8,1.2,0.5,0.2,SF
Stephen Curry,Golden State Warriors,9.9,78,36.5,24,0.47,0.42,0.89,4.3,8.5,1.6,0.2,PG
Amir Johnson,Toronto Raptors,6.5,77,28.8,10.4,0.56,0.3,0.64,6.6,1.5,0.7,1.1,PF
Bismack Biyombo,Charlotte Bobcats,3,77,13.9,2.9,0.61,0,0.52,4.8,0,0.1,1.1,C
Carmelo Anthony,New York Knicks,21.4,77,38.7,27.4,0.45,0.4,0.85,8.1,3.1,1.2,0.7,SF
Gerald Henderson,Charlotte Bobcats,6,77,32,14,0.43,0.35,0.76,4,2.6,0.7,0.4,SG
Giannis Antetokounmpo,Milwaukee Bucks,1.8,77,24.6,6.8,0.41,0.35,0.68,4.4,1.9,0.8,0.8,SF
Gordon Hayward,Utah Jazz,3.5,77,36.4,16.2,0.41,0.3,0.82,5.1,5.2,1.4,0.5,SF
Hollis Thompson,Philadelphia 76ers,0.5,77,22.6,6,0.46,0.4,0.71,3.2,0.9,0.7,0.2,SG
Ian Mahinmi,Indiana Pacers,4,77,16.2,3.5,0.48,0,0.62,3.3,0.3,0.5,0.9,C
Jodie Meeks,Los Angeles Lakers,1.6,77,33.2,15.7,0.46,0.4,0.86,2.5,1.8,1.4,0.1,SG
Josh Smith,Detroit Pistons,13.5,77,35.5,16.4,0.42,0.26,0.53,6.8,3.3,1.4,1.4,SF
Kevin Love,Minnesota Timberwolves,14.7,77,36.3,26.1,0.46,0.38,0.82,12.5,4.4,0.8,0.5,PF
LeBron James,Miami Heat,19.1,77,37.7,27.1,0.57,0.38,0.75,6.9,6.4,1.6,0.3,SF
Tony Snell,Chicago Bulls,1.4,77,16,4.5,0.38,0.32,0.76,1.6,0.9,0.4,0.2,SF
Trevor Ariza,Washington Wizards,7.7,77,35.4,14.4,0.46,0.41,0.77,6.2,2.5,1.6,0.3,SF
Andrew Nicholson,Orlando Magic,1.5,76,15.4,5.7,0.43,0.32,0.83,3.4,0.3,0.2,0.3,PF
Anthony Morrow,New Orleans Pelicans,1,76,18.8,8.4,0.46,0.45,0.83,1.8,0.8,0.5,0.2,SG
Carlos Boozer,Chicago Bulls,15.3,76,28.2,13.7,0.46,0,0.77,8.3,1.6,0.7,0.3,PF
Evan Fournier,Denver Nuggets,1.4,76,19.8,8.4,0.42,0.38,0.76,2.7,1.5,0.5,0.1,SG
George Hill,Indiana Pacers,8,76,32,10.3,0.44,0.37,0.81,3.7,3.5,1,0.3,PG
Goran Dragic,Phoenix Suns,7.5,76,35.1,20.3,0.51,0.41,0.76,3.2,5.9,1.4,0.3,SG
Shawn Marion,Dallas Mavericks,9.3,76,31.7,10.4,0.48,0.36,0.79,6.5,1.6,1.2,0.5,SG
Tayshaun Prince,Memphis Grizzlies,7.2,76,25.6,6,0.41,0.29,0.57,3.1,1.6,0.5,0.3,SF
Terrence Jones,Houston Rockets,1.6,76,27.3,12.1,0.54,0.31,0.61,6.9,1.1,0.7,1.3,PF
Garrett Temple,Washington Wizards,0.9,75,8.5,1.8,0.36,0.21,0.7,0.9,1,0.5,0.2,SG
Paul Pierce,Brooklyn Nets,15.3,75,28,13.5,0.45,0.37,0.83,4.6,2.4,1.2,0.4,SF
Chandler Parsons,Houston Rockets,0.9,74,37.6,16.6,0.47,0.37,0.74,5.5,4,1.2,0.4,SF
Iman Shumpert,New York Knicks,1.7,74,26.5,6.7,0.38,0.33,0.75,4.2,1.7,1.2,0.2,SG
J.R. Smith,New York Knicks,5.6,74,32.7,14.5,0.42,0.39,0.65,4,3,0.9,0.3,SG
Jared Dudley,Los Angeles Clippers,4.3,74,23.4,6.9,0.44,0.36,0.66,2.2,1.4,0.6,0.1,SF
Jared Sullinger,Boston Celtics,1.4,74,27.6,13.3,0.43,0.27,0.78,8.1,1.6,0.5,0.7,PF
Mo Williams,Portland Trail Blazers,2.7,74,24.8,9.7,0.42,0.37,0.88,2.1,4.3,0.7,0.1,PG
Paul Millsap,Atlanta Hawks,9.5,74,33.5,17.9,0.46,0.36,0.73,8.5,3.1,1.7,1.1,PF
Tim Duncan,San Antonio Spurs,10.4,74,29.2,15.1,0.49,0,0.73,9.7,3,0.6,1.9,PF
Al Jefferson,Charlotte Bobcats,13.5,73,35,21.8,0.51,0.2,0.69,10.8,2.1,0.9,1.1,C
Andray Blatche,Brooklyn Nets,1.4,73,22.2,11.2,0.48,0.28,0.74,5.3,1.5,1,0.5,C
Bradley Beal,Washington Wizards,4.3,73,34.7,17.1,0.42,0.4,0.79,3.7,3.3,1,0.3,SG
DeMarre Carroll,Atlanta Hawks,2.6,73,32.1,11.1,0.47,0.36,0.77,5.5,1.8,1.5,0.3,SF
