Last.Name,party.labels,aye,nay,other
Cummings,Democrat,80,137,96
Brooks,Republican,128,115,70
Moran,Democrat,80,131,102
Southerland,Republican,127,117,69
Amodei,Republican,130,109,74
Joyce,Republican,127,126,60
Brownley,Democrat,95,137,81
Bucshon,Republican,127,118,68
Griffith,Republican,125,114,74
Ellmers,Republican,130,118,65
LoBiondo,Republican,123,121,69
Tsongas,Democrat,84,124,105
Alexander,Republican,93,96,124
Camp,Republican,133,111,69
Bachus,Republican,135,111,67
Gabbard,Democrat,91,125,97
Jordan,Republican,116,119,78
Van Hollen,Democrat,90,128,95
Cassidy,Republican,128,111,74
Butterfield,Democrat,79,139,95
Lofgren,Democrat,86,141,86
Green,Democrat,78,144,91
Salmon,Republican,119,104,90
Shuster,Republican,129,110,74
Roby,Republican,130,122,61
Johnson,Republican,123,115,75
Foxx,Republican,118,125,70
Fincher,Republican,120,116,77
Matsui,Democrat,82,139,92
Kaptur,Democrat,85,141,87
King,Republican,123,124,66
Nugent,Republican,126,113,74
Nunnelee,Republican,130,115,68
Kildee,Democrat,88,144,81
Sherman,Democrat,87,134,92
Davis,Republican,122,111,80
Connolly,Democrat,85,139,89
Owens,Democrat,84,146,83
Ruppersberger,Democrat,87,141,85
Esty,Democrat,89,128,96
Gohmert,Republican,107,103,103
Ross,Republican,134,107,72
Gibbs,Republican,127,116,70
Guthrie,Republican,134,112,67
DesJarlais,Republican,129,117,67
Johnson,Democrat,81,140,92
Vargas,Democrat,88,141,84
Bustos,Democrat,97,127,89
Brown,Democrat,81,132,100
Latta,Republican,132,115,66
Rogers,Republican,124,112,77
Pingree,Democrat,84,128,101
Lowenthal,Democrat,86,129,98
Honda,Democrat,75,117,121
Farenthold,Republican,133,112,68
Fleming,Republican,123,127,63
Mullin,Republican,123,120,70
Hahn,Democrat,89,131,93
Cook,Republican,132,112,69
Hoyer,Democrat,79,142,92
Culberson,Republican,101,101,111
Takano,Democrat,86,139,88
Goodlatte,Republican,128,116,69
Conyers,Democrat,74,129,110
Smith,Republican,134,112,67
Barber,Democrat,98,128,87
Sensenbrenner,Republican,125,97,91
Weber,Republican,123,126,64
Gingrey,Republican,112,113,88
Noem,Republican,129,118,66
Becerra,Democrat,87,128,98
Forbes,Republican,125,117,71
Rothfus,Republican,133,115,65
Latham,Republican,127,132,54
Fudge,Democrat,73,138,102
Capuano,Democrat,77,138,98
Davis,Democrat,84,122,107
Maloney,Democrat,77,135,101
Neal,Democrat,77,135,101
Keating,Democrat,80,130,103
DeLauro,Democrat,85,131,97
Tiberi,Republican,127,118,68
Labrador,Republican,114,109,90
Wilson,Democrat,86,129,98
Bishop,Democrat,78,142,93
Gibson,Republican,119,104,90
Wittman,Republican,127,125,61
Huelskamp,Republican,116,121,76
Bilirakis,Republican,132,106,75
Brady,Republican,126,111,76
Cleaver,Democrat,81,121,111
Larson,Democrat,84,130,99
Clarke,Democrat,72,128,113
Scott,Democrat,83,129,101
Lamborn,Republican,124,112,77
Rahall,Democrat,85,149,79
Diaz-Balart,Republican,121,106,86
Hudson,Republican,113,128,72
Duffy,Republican,123,114,76
Valadao,Republican,126,129,58
Walz,Democrat,90,133,90
Womack,Republican,135,116,62
Serrano,Democrat,87,126,100
Clyburn,Democrat,76,130,107
Collins,Republican,135,111,67
Kirkpatrick,Democrat,83,138,92
Nadler,Democrat,82,121,110
Gowdy,Republican,125,113,75
Hall,Republican,130,112,71
Duncan,Republican,125,97,91
Andrews,Democrat,82,149,82
Sinema,Democrat,97,121,95
King,Republican,125,122,66
Miller,Democrat,65,136,112
Black,Republican,131,111,71
Kelly,Republican,134,116,63
Maloney,Democrat,90,145,78
Wagner,Republican,130,116,67
McClintock,Republican,123,109,81
Edwards,Democrat,83,131,99
Polis,Democrat,83,107,123
Paulsen,Republican,127,112,74
Schock,Republican,117,115,81
Himes,Democrat,91,122,100
Gutií©rrez,Democrat,64,112,137
Royce,Republican,131,107,75
Hastings,Republican,132,119,62
McMorris Rodgers,Republican,124,104,85
Richmond,Democrat,71,133,109
Chabot,Republican,131,111,71
Sarbanes,Democrat,75,141,97
Harris,Republican,122,114,77
Posey,Republican,132,99,82
Marchant,Republican,111,117,85
McDermott,Democrat,69,138,106
Pastor,Democrat,69,142,102
Perlmutter,Democrat,85,131,97
Daines,Republican,132,111,70
Scalise,Republican,131,108,74
Duncan,Republican,118,123,72
Mica,Republican,135,98,80
Johnson,Republican,126,122,65
Jenkins,Republican,125,126,62
Kingston,Republican,117,108,88
Costa,Democrat,82,155,76
Walden,Republican,132,115,66
Conaway,Republican,119,125,69
Larsen,Democrat,81,126,106
Lujíçn,Democrat,90,145,78
Tonko,Democrat,88,128,97
Fleischmann,Republican,132,113,68
Bridenstine,Republican,117,122,74
DeSantis,Republican,122,123,68
Sires,Democrat,69,133,111
Pompeo,Republican,131,114,68
Cramer,Republican,131,104,78
Terry,Republican,125,121,67
Kinzinger,Republican,127,124,62
Kind,Democrat,77,130,106
Cole,Republican,125,110,78
Grijalva,Democrat,58,122,133
Stockman,Republican,111,123,79
Gardner,Republican,124,127,62
Ryan,Democrat,83,153,77
Meeks,Democrat,72,127,114
Bishop,Democrat,85,141,87
McIntyre,Democrat,103,117,93
Boustany,Republican,134,113,66
Garrett,Republican,127,108,78
Miller,Republican,122,111,80
Levin,Democrat,84,145,84
Wolf,Republican,132,115,66
Moore,Democrat,73,125,115
Meng,Democrat,80,132,101
Doggett,Democrat,87,120,106
Calvert,Republican,133,116,64
Nolan,Democrat,81,132,100
Fitzpatrick,Republican,124,117,72
Roskam,Republican,130,113,70
Foster,Democrat,96,131,86
Holding,Republican,121,121,71
Ros-Lehtinen,Republican,126,108,79
Dingell,Democrat,75,143,95
Graves,Republican,120,121,72
Negrete McLeod,Democrat,78,123,112
Griffin,Republican,127,125,61
Pitts,Republican,130,102,81
Crenshaw,Republican,131,116,66
Lance,Republican,129,116,68
Carter,Republican,121,116,76
Quigley,Democrat,84,120,109
Dent,Republican,129,119,65
McNerney,Democrat,93,134,86
Grayson,Democrat,88,118,107
Tipton,Republican,122,123,68
Murphy,Democrat,95,117,101
Gallego,Democrat,96,136,81
Young,Republican,135,104,74
Yoder,Republican,124,123,66
Long,Republican,132,119,62
Collins,Republican,116,121,76
Walorski,Republican,131,112,70
Braley,Democrat,92,116,105
Shimkus,Republican,124,93,96
Whitfield,Republican,132,111,70
Eshoo,Democrat,87,129,97
Davis,Democrat,87,133,93
Lummis,Republican,121,106,86
Heck,Democrat,89,126,98
Crawford,Republican,130,113,70
Barton,Republican,124,108,81
Bentivolio,Republican,122,116,75
Miller,Republican,132,108,73
Chaffetz,Republican,127,105,81
Chu,Democrat,81,133,99
Simpson,Republican,131,118,64
Barrow,Democrat,98,149,66
Brooks,Republican,133,113,67
Duckworth,Democrat,87,137,89
Petri,Republican,131,98,84
Kelly,Democrat,66,122,125
Schiff,Democrat,87,133,93
Cantor,Republican,134,107,72
Castro,Democrat,83,136,94
