Year,acadpr01,birthyr,carede01,cocurr01,commute,enrlment,enter,envadm,envcompt,envdivrs,envevent,envnacad,envschol,envsocal,envsuprt,envstu,envfac,fathredu,mothredu,gnanaly,gncitizn,gncmpts,gncommun,gndivers,gnethics,gngenled,gninq,gnothers,gnprobsv,gnquant,gnself,gnspeak,gnwork,gnwrite,internat,livenow,race05,sex,social01/social05
2003,2,73,7,1,3,2,2,3,4,2,3,1,2,1,2,5,2,3,4,2,1,4,1,1,1,3,3,3,1,2,3,2,3,2,1,3,4,1,3
2003,4,80,1,2,2,2,1,4,3,2,2,1,3,1,2,6,4,3,4,3,1,4,2,2,3,3,2,3,2,4,3,2,3,2,1,3,4,1,3
2003,5,77,1,2,2,2,2,5,3,2,2,1,3,2,2,6,5,3,4,4,1,4,2,3,2,3,3,3,3,4,2,3,3,3,1,1,4,2,3
2003,8,80,1,2,2,2,2,6,4,3,3,1,2,1,2,3,5,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,2,4
2003,3,80,2,1,3,2,1,4,4,1,4,1,4,3,3,5,4,3,4,4,1,3,2,2,2,4,4,4,2,3,4,4,4,4,1,3,4,2,3
2003,2,80,1,2,2,2,1,5,4,3,2,1,2,1,3,6,5,2,5,3,3,4,1,3,3,3,4,3,3,3,3,2,3,2,1,2,4,1,4
2003,2,79,1,1,2,2,1,3,4,1,2,1,2,1,1,3,5,2,5,2,2,3,2,2,3,3,3,2,2,2,3,2,2,2,1,3,4,2,3
2003,3,76,3,1,4,2,2,2,3,1,1,1,1,1,1,5,2,2,5,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,3,4,2,2
2003,4,80,1,1,2,2,1,5,3,4,3,2,2,2,2,5,6,6,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,4,1,3,4,2,3
2003,2,79,4,1,2,2,2,5,3,1,2,1,3,1,3,6,6,6,2,3,1,3,1,2,2,3,2,3,1,2,3,3,3,3,1,3,4,2,4
2003,3,80,2,4,3,2,1,3,3,2,2,1,2,1,2,5,5,6,2,3,1,3,1,1,2,2,3,2,2,3,2,2,1,2,1,3,4,2,5
2003,3,81,1,2,2,2,1,5,4,2,2,1,3,2,2,6,4,6,2,4,2,4,2,2,2,4,2,3,2,2,3,2,2,3,1,2,4,2,6
2003,2,81,1,1,3,2,1,2,4,2,1,1,2,2,3,6,6,5,3,2,1,3,1,2,1,2,2,2,1,2,2,2,3,2,1,3,4,1,1
2003,4,80,1,3,2,2,2,2,3,2,2,2,3,3,3,4,4,5,3,3,2,2,2,2,3,3,3,3,3,4,4,3,3,3,1,3,4,1,2
2003,5,80,1,3,1,2,1,5,2,2,2,1,3,1,3,6,5,5,3,4,1,1,3,4,3,3,3,2,2,2,4,2,2,4,1,2,4,2,5
2003,3,77,4,1,2,2,1,3,4,2,3,1,3,3,3,6,6,5,3,4,2,4,3,2,3,4,4,4,3,3,3,3,4,3,1,3,4,1,3
2003,3,79,1,2,2,2,1,4,4,2,4,1,3,2,2,5,5,5,3,4,2,4,2,2,1,4,3,3,3,3,3,3,4,2,1,3,4,1,8
2003,6,75,4,1,2,2,2,5,3,2,3,1,2,2,3,7,7,5,3,4,1,2,1,3,2,3,2,2,3,4,2,3,2,3,1,3,4,1,4
2003,5,82,1,5,2,2,1,4,4,4,3,2,3,3,2,7,4,5,3,3,3,4,3,3,4,2,3,3,2,2,3,2,2,2,1,1,4,2,3
2003,2,81,1,2,2,2,1,4,4,2,2,1,3,2,3,6,5,5,3,2,2,3,2,3,1,2,4,1,2,2,3,2,1,2,1,3,4,1,2
2003,4,73,5,1,2,1,1,4,3,1,2,1,3,1,2,5,NA,5,3,2,2,4,NA,2,3,3,3,NA,2,3,3,NA,3,2,1,3,4,1,4
2003,5,79,1,1,2,2,1,2,3,1,2,1,4,2,4,7,7,5,3,3,2,1,3,1,3,3,3,3,2,2,2,3,3,1,1,3,4,1,7
2003,3,81,1,2,2,1,1,2,3,2,2,2,2,1,2,6,6,5,3,4,3,3,2,3,3,3,3,3,3,2,3,4,3,4,1,3,4,2,3
2003,4,81,1,2,2,2,1,5,3,4,3,3,4,3,4,5,6,5,3,2,2,4,3,4,4,4,4,4,4,2,4,2,4,3,1,2,4,2,3
